Shelf,Bin,Item Code,Medication,Type,P95_DAILY_DEMAND,VELOCITY_CATEGORY,Max_Capacity,Reorder_Threshold,TopUp_Threshold
5,40,ITM-000009,Acarbose 50mg Tablet,Non-Buffer,490,Slow-Moving,,,
3,44,ITM-000011,Acarbose 100mg Tablet,Non-Buffer,580,Slow-Moving,,,
7,43,ITM-000042,Aciclovir 200mg Tablet,Non-Buffer,400,Medium-Moving,,,
8,36,ITM-000044,Aciclovir 800mg Tablet,Non-Buffer,40,Slow-Moving,,,
1,24,ITM-000079,Agomelatine [VALDOXAN] 25mg Tablet,Non-Buffer,56,Slow-Moving,,,
7,39,ITM-000099,Alfacalcidol 0.25mcg Capsule/Tablet,Non-Buffer,400,Medium-Moving,,,
1,30,ITM-000106,GAVISCON Liquid 200mL,Buffer,24,Fast-Moving,,,
6,15,ITM-000130,"ACARIZAX [Allergens Extract (DF, DP)] 12 unit Sublingual Tablet",Non-Buffer,60,Slow-Moving,,,
7,26,ITM-000140,Alprazolam 0.25mg Tablet,Non-Buffer,800,Fast-Moving,,,
4,22,ITM-000142,Alprazolam 0.5mg Tablet,Non-Buffer,600,Medium-Moving,,,
8,9,ITM-000170,Ambrisentan [VOLIBRIS] 5mg Tablet,Non-Buffer,60,Slow-Moving,,,
1,6,ITM-000172,Ambrisentan [VOLIBRIS] 10mg Tablet,Non-Buffer,60,Slow-Moving,,,
4,43,ITM-000194,Amitriptyline HCl 10mg Tablet,Buffer,790,Fast-Moving,,,
5,47,ITM-000212,Amoxicillin 250mg Capsule,Non-Buffer,340,Fast-Moving,,,
3,39,ITM-000213,Amoxicillin 125mg/5mL Suspension 60mL,Non-Buffer,8,Medium-Moving,,,
4,42,ITM-000261,Aripiprazole [ABILIFY] 5mg Tablet,Non-Buffer,500,Medium-Moving,,,
4,32,ITM-000262,Aripiprazole [ABILIFY] 10mg Tablet,Non-Buffer,350,Medium-Moving,,,
5,25,ITM-000341,Azithromycin 250mg Tablet,Non-Buffer,180,Fast-Moving,,,
6,30,ITM-000347,Baclofen 10mg Tablet,Buffer,1000,Fast-Moving,,,
8,43,ITM-000403,Betahistine HCl [BETASERC] 24mg Tablet,Buffer,770,Fast-Moving,,,
2,2,ITM-000450,Bicalutamide 50mg Tablet,Non-Buffer,30,Slow-Moving,,,
2,17,ITM-000462,Bisacodyl 5mg Tablet,Non-Buffer,500,Fast-Moving,,,
1,36,ITM-000463,Bismuth Subcitrate Colloidal (Trioxide 120mg) Tablet,Non-Buffer,170,Slow-Moving,,,
7,30,ITM-000469,Bisoprolol Fumarate 5mg Tablet,Buffer,4000,Fast-Moving,,,
3,3,ITM-000484,Brexpiprazole [REXULTI] 0.5mg Tablet,Non-Buffer,112,Slow-Moving,,,
1,17,ITM-000485,Brexpiprazole [REXULTI] 1mg Tablet,Non-Buffer,84,Slow-Moving,,,
8,42,ITM-000517,Budesonide 0.5mg/2mL RESPULE,Buffer,50,Medium-Moving,,,
2,18,ITM-000543,Bupropion HCl 150mg SR Tablet,Non-Buffer,440,Medium-Moving,,,
1,14,ITM-000594,Candesartan Cilexetil 8mg Tablet,Non-Buffer,150,Slow-Moving,,,
7,14,ITM-000595,Candesartan Cilexetil 16mg Tablet,Non-Buffer,90,Slow-Moving,,,
1,35,ITM-000606,Carbamazepine CR [TEGRETOL CR] 200mg Tablet,Buffer,400,Slow-Moving,,,
6,29,ITM-000608,Carbamazepine [TEGRETOL] 100mg/5mL Syrup 100mL,Non-Buffer,9,Slow-Moving,,,
2,1,ITM-000617,"CREDANIL 25/250 [Carbidopa, Levodopa] 275mg Tablet",Non-Buffer,450,Slow-Moving,,,
3,41,ITM-000648,Cefalexin 250mg Capsule,Non-Buffer,540,Fast-Moving,,,
3,20,ITM-000649,Cefalexin 125mg/5mL Suspension 60mL,Non-Buffer,12,Slow-Moving,,,
5,18,ITM-000655,Cefazolin 1g Injection,Non-Buffer,20,Slow-Moving,,,
5,16,ITM-000662,Ceftazidime 1g Injection,Non-Buffer,5,Slow-Moving,,,
3,12,ITM-000673,Cefuroxime [ZINNAT] 125mg/5mL Suspension 50mL,Non-Buffer,3,Slow-Moving,,,
5,28,ITM-000674,Cefuroxime 250mg Tablet,Non-Buffer,40,Medium-Moving,,,
7,19,ITM-000676,Celecoxib 200mg Capsule,Non-Buffer,200,Medium-Moving,,,
6,26,ITM-000738,Chlorhexidine 0.2% Mouth Wash 200mL,Buffer,20,Fast-Moving,,,
4,5,ITM-000745,Chlorpromazine HCl 25mg Tablet,Non-Buffer,200,Slow-Moving,,,
6,25,ITM-000759,Ciclosporin [NEORAL] 25mg Capsule,Non-Buffer,500,Slow-Moving,,,
1,47,ITM-000761,Ciclosporin [NEORAL] 100mg Capsule,Non-Buffer,200,Slow-Moving,,,
5,9,ITM-000788,Ciprofloxacin 500mg Tablet,Non-Buffer,120,Fast-Moving,,,
3,19,ITM-000794,Clarithromycin 125mg/5mL Suspension 60mL,Non-Buffer,4,Slow-Moving,,,
3,25,ITM-000797,Clarithromycin 500mg Tablet,Non-Buffer,70,Medium-Moving,,,
7,24,ITM-000798,Clindamycin 150mg Capsule,Non-Buffer,260,Medium-Moving,,,
8,34,ITM-000812,Clobazam [FRISIUM] 10mg Tablet,Non-Buffer,360,Medium-Moving,,,
4,7,ITM-000829,Clomipramine HCl 25mg Tablet,Non-Buffer,240,Slow-Moving,,,
4,20,ITM-000832,Clonazepam 0.5mg Tablet,Non-Buffer,1000,Fast-Moving,,,
5,39,ITM-000859,Cloxacillin 250mg Capsule,Non-Buffer,150,Slow-Moving,,,
