ITEM_CODE,ITEM_NAME,PAR_ALERT_QTY,BARCODE,BIN_CODE
ITM-001377,"Ethinylestradiol 0.03mg, Drospirenone 3mg Tablet 21s",15,YES,N22
ITM-003276,"(SERETIDE) salmet 25MCG, flutica 250MCG evo/h 120D",45,YES,N35
ITM-000363,BECLOMETASONE DIPROP 50MCG inh 200D,10,YES,M53
ITM-001155,"(EUVEIN) diosmin 450MG, hesperidin 50MG tab",6,NO,D32
ITM-000777,PROCTOSEDYL Ointment 15g,10,NO,Z35B
ITM-003169,risedronate sod 35MG TAB,20,NO,N85
ITM-000644,CARVEDILOL 25MG tab,10,NO,F22A
ITM-003266,"(SERETIDE) salmet 50MCG, flutica 100MCG accu/h 60D",12,NO,M57
ITM-000297,ATORVASTATIN 40MG tab,35,NO,D17
ITM-000276,aspirin 100MG tab,52,NO,E10
ITM-001408,EZETIMIBE 10MG tab,10,NO,M43
ITM-000882,"amoxicillin 500MG,clavulanate 125MG tab",40,NO,i5-29
ITM-000295,ATORVASTATIN 20MG tab,120,YES,F19
ITM-004134,IRON POLYMALTOSE 100MG tab (MALTOFER),40,YES,N38
ITM-000467,biSOPROlol fumarate 2.5MG tab,35,YES,D29
ITM-004187,"(EPIDUO FORTE) adapalene 0.3%, benzoyl peroxide 2.5% gel",15,YES,Z40A
ITM-000364,BECLOMETASONE DIPROP 250MCG inh 200D,10,YES,N49
ITM-003270,"(SERETIDE) salmet 50MCG, flutica 500MCG accu/h 60D",16,YES,N77A
ITM-003109,RABEPRAZOLE 20MG TAB,15,NO,N89
ITM-000092,ALENDRONIC ACID 70MG tab,50,YES,E28
ITM-000524,"bude 160mcg, formo 4.5mcg (SYMBICORT) RAPI/H 120D",10,NO,N30
ITM-003773,ursodeoxycholic acid 250MG CAP,15,YES,D35B
ITM-000841,CLOPIDOGREL 75MG tab,50,YES,D12
ITM-001408,EZETIMIBE 10MG tab,100,YES,M43
ITM-000788,CIPROFLOXACIN 500MG tab,10,NO,i5-09
ITM-003219,ROSUVASTATIN 10MG tab,40,YES,M55
