Inventory Summary Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ITEM CODE,ARTICLE CODE,ARTICLE NAME,,Qty per batch,EXPIRY DT,BATCH NO,TOTAL BALANCE,BATCH BALANCE,ROUTE,PACK TYPE,PACK SIZE,BIN,CRITICAL LEVEL,PAR LEVEL
,ITM-000009,ART-000009-TAB0001M01,Acarbose 50mg Tablet,,351,30/09/2028,JI001,351,351,IPTL,,1,IPTLB1,,
,ITM-000011,ART-000011-TAB0001M01,Acarbose 100mg Tablet,,800,31/12/2028,JL003,800,800,IPTL,,1,IPTLB1,,
,ITM-000042,ART-000042-TAB0001M02,Aciclovir 200mg Tablet,,759,30/09/2030,VLT JI005,759,759,IPTL,,1,IPTLB1,,
,ITM-000044,ART-000044-TAB0001M01,Aciclovir 800mg Tablet,,602,31/05/2029,IB001,602,602,IPTL,,1,IPTLB1,,
,ITM-000079,ART-000079-TAB0001M01,Agomelatine [VALDOXAN] 25mg Tablet,,280,31/10/2028,6133636,280,280,IPTL,,1,IPTLB1,,
,ITM-000099,ART-000099-CT0001M01,Alfacalcidol 0.25mcg Capsule/Tablet,,90,31/10/2028,D56248,90,90,IPTL,,1,IPTLB1,,
,ITM-000106,ART-000106-BTL0001M01,GAVISCON Liquid 200mL,,24,30/11/2027,AHR332,24,24,IPTL,,1,IPTLB1,,
,ITM-000130,ART-000130-TAB0001M01,"ACARIZAX [Allergens Extract (DF, DP)] 12 unit Sublingual Tablet",,77,28/02/2029,0005117381,77,77,IPTL,,1,IPTLB1,,
,ITM-000140,ART-000140-TAB0001M02,Alprazolam 0.25mg Tablet,,257,31/07/2027,MD7919,257,257,IPTL,,1,IPTLB1,,
,ITM-000142,ART-000142-TAB0001M01,Alprazolam 0.5mg Tablet,,1598,31/03/2027,LN5680,1598,1598,IPTL,,1,IPTLB1,,
,ITM-000170,ART-000170-TAB0001M01,Ambrisentan [VOLIBRIS] 5mg Tablet,,60,31/01/2028,CPBWS,60,60,IPTL,,1,IPTLB1,,
,ITM-000172,ART-000172-TAB0001M01,Ambrisentan [VOLIBRIS] 10mg Tablet,,150,31/01/2028,CPMBN,150,150,IPTL,,1,IPTLB1,,
,ITM-000194,ART-000194-TAB0001M04,Amitriptyline HCl 10mg Tablet,,417,31/12/2027,2405144,417,417,IPTL,,1,IPTLB1,,
,ITM-000212,ART-000212-CAP0001M01,Amoxicillin 250mg Capsule,,672,31/07/2028,523241,672,672,IPTL,,1,IPTLB1,,
,ITM-000213,ART-000213-BTL0001M01,Amoxicillin 125mg/5mL Suspension 60mL,,25,31/12/2027,250038,25,25,IPTL,,1,IPTLB1,,
,ITM-000261,ART-000261-TAB0001M01,Aripiprazole [ABILIFY] 5mg Tablet,,787,30/04/2028,25G370,787,787,IPTL,,1,IPTLB1,,
,ITM-000262,ART-000262-TAB0001M01,Aripiprazole [ABILIFY] 10mg Tablet,,157,31/07/2028,25L114,157,157,IPTL,,1,IPTLB1,,
